index	text	sentiment	speaker	sentiment	movingave (bin20)	movingave
46	" Then Bilbo sat down on a seat by his door, crossed his legs, and blew out a beautiful grey ring of smoke that sailed up into the air without breaking and floated away over The Hill."	  Negative	Bilbo Baggins	-1	-0.19512	0.13437
47	Very pretty!	  Positive	None	1	-0.17073	0.15876
48	 said Gandalf.	  Neutral	Gandalf	0	-0.17073	0.15876
49	But I have no time to blow smoke-rings this morning.	  Neutral	None	0	-0.19512	0.13437
50	"I am looking for someone to share in an adventure that I am arranging, and it's very difficult to find anyone."	  Negative	None	-1	-0.21951	0.10998
51	 _—“I should think so - in these parts!	  Neutral	None	0	-0.26829	0.061199
52	We are plain quiet folk and have no use for adventures.	  Negative	None	-1	-0.2439	0.085589
53	Nasty disturbing uncomfortable things!	  Negative	None	-1	-0.2439	0.085589
54	Make you late for dinner!	  Neutral	None	0	-0.2439	0.085589
55	"I can_—Èt think what anybody sees in them,_—ù said our Mr. Baggins, and stuck one thumb behind his braces, and blew out another even bigger smoke-ring."	  Negative	None	-1	-0.21951	0.10998
56	"Then he took out his morning letters, and begin to read, pretending to take no more notice of the old man."	  Neutral	None	0	-0.2439	0.085589
57	"He had decided that he was not quite his sort, and wanted him to go away."	  Neutral	None	0	-0.26829	0.061199
58	But the old man did not move.	  Neutral	None	0	-0.19512	0.13437
59	"He stood leaning on his stick and gazing at the hobbit without saying anything, till Bilbo got quite uncomfortable and even a little cross."	  Neutral	Bilbo Baggins	0	-0.19512	0.13437
60	Good morning!	  Positive	None	1	-0.19512	0.13437
61	 he said at last.	  Neutral	None	0	-0.19512	0.13437
62	"We don't want any adventures here, thank you!"	  Positive	None	1	-0.14634	0.18315
63	You might try over The Hill or across The Water.	  Neutral	None	0	-0.17073	0.15876
64	 By this he meant that the conversation was at an end.	  Neutral	None	0	-0.17073	0.15876
65	What a lot of things you do use Good morning for!	  Positive	None	1	-0.14634	0.18315
66	 said Gandalf.	  Neutral	Gandalf	0	-0.14634	0.18315
67	"Now you mean that you want to get rid of me, and that it won't be good till I move off."	  Neutral	None	0	-0.14634	0.18315
68	" Not at all, not at all, my dear sir!"	  Negative	None	-1	-0.19512	0.13437
69	"Let me see, I don't think I know your name?"	  Negative	None	-1	-0.21951	0.10998
70	" Yes, yes, my dear sir - and I do know your name, Mr. Bilbo Baggins."	  Very negative	Bilbo Baggins	-2	-0.21951	0.10998
71	"And you do know my name, though you don't remember that I belong to it."	  Negative	None	-1	-0.19512	0.13437
72	"I am Gandalf, and Gandalf means me!"	  Neutral	Gandalf	0	-0.21951	0.10998
73	"To think that I should have lived to be good-morninged by Belladonna Took's son, as if I was selling buttons at the door!"	  Neutral	Bullroarer Took	0	-0.21951	0.10998
74	" Gandalf, Gandalf!"	  Neutral	Gandalf	0	-0.17073	0.15876
75	Good gracious me!	  Positive	None	1	-0.19512	0.13437
76	Not the wandering wizard that gave Old Took a pair of magic diamond studs that fastened themselves and never came undone till ordered?	  Negative	Bullroarer Took	-1	-0.14634	0.18315
77	"Not the fellow who used to tell such wonderful tales at parties, about dragons and goblins and giants and the rescue of princesses and the unexpected luck of widows' sons?"	  Negative	None	-1	-0.14634	0.18315
78	Not the man that used to make such particularly excellent fireworks!	  Very positive	None	2	-0.14634	0.18315
79	I remember those!	  Neutral	None	0	-0.12195	0.20754
80	Old Took used to have them on Midsummer's Eve.	  Neutral	Bullroarer Took	0	-0.12195	0.20754
81	Splendid!	  Neutral	None	0	-0.12195	0.20754
82	They used to go up like great lilies and snapdragons and laburnums of fire and hang in the twilight all evening!	  Very positive	None	2	-0.12195	0.20754
83	" You will notice already that Mr. Baggins was not quite so prosy as he liked to believe, also that he was very fond of flowers."	  Negative	None	-1	-0.12195	0.20754
84	Dear me!	  Negative	None	-1	-0.12195	0.20754
85	 he went on.	  Neutral	None	0	-0.097561	0.23193
86	Not the Gandalf who was responsible for so many quiet lads and lasses going off into the Blue for mad adventures.	  Negative	Gandalf	-1	-0.14634	0.18315
87	"Anything from climbing trees to visiting Elves - or sailing in ships, sailing to other shores!"	  Negative	None	-1	-0.14634	0.18315
88	"Bless me, life used to be quite inter - I mean, you used to upset things badly in these parts once upon a time."	  Negative	None	-1	-0.14634	0.18315
89	"I beg your pardon, but I had no idea you were still in business."	  Negative	None	-1	-0.12195	0.20754
90	 Where else should I be?	  Neutral	None	0	-0.12195	0.20754
91	 said the wizard.	  Neutral	None	0	-0.073171	0.25632
92	All the same I am pleased to find you remember something about me.	  Negative	None	-1	-0.04878	0.28071
93	"You seem to remember my fireworks kindly, at any rate, land that is not without hope."	  Negative	None	-1	-0.04878	0.28071
94	"Indeed for your old grand-father Took's sake, and for the sake of poor Belladonna, I will give you what you asked for."	  Positive	Bullroarer Took	1	-0.04878	0.28071
95	" I beg your pardon, I haven't asked for anything!"	  Negative	None	-1	-0.073171	0.25632
96	" Yes, you have!"	  Positive	None	1	-0.097561	0.23193
97	Twice now.	  Neutral	None	0	-0.073171	0.25632
98	My pardon.	  Neutral	None	0	-0.04878	0.28071
99	I give it you.	  Positive	None	1	-0.097561	0.23193
100	In fact I will go so far as to send you on this adventure.	  Neutral	None	0	-0.12195	0.20754
101	"Very amusing for me, very good for you and profitable too, very likely, if you ever get over it."	  Positive	None	1	-0.073171	0.25632
102	 Sorry!	  Neutral	None	0	-0.073171	0.25632
103	"I don't want any adventures, thank you."	  Positive	None	1	-0.14634	0.18315
104	Not today.	  Neutral	None	0	-0.12195	0.20754
105	Good morning!	  Positive	None	1	-0.097561	0.23193
106	But please come to tea - any time you like!	  Negative	None	-1	-0.12195	0.20754
107	Why not tomorrow?	  Neutral	None	0	-0.12195	0.20754
108	Come tomorrow!	  Neutral	None	0	-0.097561	0.23193
109	Good-bye!	  Neutral	None	0	-0.073171	0.25632
110	" With that the hobbit turned and scuttled inside his round green door, and shut it as quickly as he dared, not to seen rude."	  Negative	None	-1	-0.04878	0.28071
111	Wizards after all are wizards.	  Neutral	None	0	-0.02439	0.3051
112	What on earth did I ask him to tea for!	  Neutral	None	0	-0.02439	0.3051
113	" he said to him-self, as he went to the pantry."	  Neutral	None	0	0	0.32949
114	"He had only just had break fast, but he thought a cake or two and a drink of something would do him good after his fright."	  Neutral	None	0	0	0.32949
115	"Gandalf in the meantime was still standing outside the door, and laughing long but quietly."	  Negative	Gandalf	-1	-0.02439	0.3051
116	"After a while he stepped up, and with the spike of his staff scratched a queer sign on the hobbit's beautiful green front-door."	  Neutral	None	0	0	0.32949
117	"Then he strode away, just about the time when Bilbo was finishing his second cake and beginning to think that he had escape adventures very well."	  Neutral	Bilbo Baggins	0	-0.04878	0.28071
