index	text	sentiment	speaker	sentiment	movingave (bin20)	movingave
1896	"After all he is my friend, said the wizard, ""and not a bad little chap."	  Negative	None	-1	-0.41463	-0.085141
1897	I feel responsible for him.	  Neutral	None	0	-0.41463	-0.085141
1898	I wish to goodness you had not lost him.	  Negative	None	-1	-0.39024	-0.060751
1899	" The dwarves wanted to know why he had ever been brought at all, why he could not stick to his friends and come along with them, and why the wizard had not chosen someone with more sense."	  Negative	None	-1	-0.36585	-0.036361
1900	"He has been more trouble than use so far, said one."	  Neutral	None	0	-0.39024	-0.060751
1901	"If we have got to' go back now into those abominable tunnels to look for him, then drat him, I say."	  Neutral	None	0	-0.39024	-0.060751
1902	" Gandalf answered angrily: I brought him, and I don't bring things that are of no use."	  Negative	Gandalf	-1	-0.36585	-0.036361
1903	"Either you help me to look for him, or I go and leave you here to get out of the mess as best you can yourselves."	  Neutral	None	0	-0.34146	-0.011971
1904	"If we can only find him again, you will thank me before all is over."	  Negative	None	-1	-0.36585	-0.036361
1905	"Whatever did you want to go and drop him for, Dori?"	  Neutral	Dori	0	-0.39024	-0.060751
1906	" You would have dropped him,"" said Dori, ""if a goblin had suddenly grabbed your leg from behind in the dark, tripped up your feet, and kicked you in the back!"	  Neutral	Dori	0	-0.39024	-0.060751
1907	 Then why didn't you pick him up again?	  Neutral	None	0	-0.39024	-0.060751
1908	 Good heavens!	  Positive	None	1	-0.39024	-0.060751
1909	Can you ask!	  Neutral	None	0	-0.39024	-0.060751
1910	"Goblins fighting and biting in the dark, everybody falling over bodies and hitting one another!"	  Neutral	None	0	-0.36585	-0.036361
1911	"You nearly chopped off my head with Glamdring, and Thorin Was stabbing here there and everywhere with Orcrist."	  Negative	Thorin Oakenshield	-1	-0.34146	-0.011971
1912	"All of a sudden you gave one of your blinding flashes, and we saw the goblins running back yelping."	  Neutral	None	0	-0.31707	0.012419
1913	You shouted 'follow me everybody!	  Neutral	None	0	-0.31707	0.012419
1914	' and everybody ought to have followed.	  Neutral	None	0	-0.34146	-0.011971
1915	We thought everybody had.	  Neutral	None	0	-0.34146	-0.011971
1916	"There was no time to count, as you know quite well, till we had dashed through the gate-guards, out of the lower door, and helter-skelter down here."	  Neutral	None	0	-0.31707	0.012419
1917	"And here we are-without the burglar, confusticate him!"	  Neutral	None	0	-0.26829	0.061199
1918	 And here's the burglar!	  Positive	None	1	-0.31707	0.012419
1919	" said Bilbo stepping down into the middle of them, and slipping off the ring."	  Negative	Bilbo Baggins	-1	-0.29268	0.036809
1920	"Bless me, how they jumped!"	  Negative	None	-1	-0.29268	0.036809
1921	Then they shouted with surprise and delight.	  Negative	None	-1	-0.29268	0.036809
1922	"Gandalf was as astonished as any of them, but probably more pleased than all the others."	  Negative	Gandalf	-1	-0.31707	0.012419
1923	He called to Balin and told him what he thought of a look-out man who let people walk right into them like that without warning.	  Neutral	Balin	0	-0.29268	0.036809
1924	It is a fact that Bilbo's reputation went up a very great deal with the dwarves after this.	  Negative	Bilbo Baggins	-1	-0.29268	0.036809
1925	"If they had still doubted that he was really a first-class burglar, in spite of Gandalf's words, they doubted no longer."	  Negative	Gandalf	-1	-0.26829	0.061199
1926	Balin was the most puzzled of all; but everyone said it was a very clever bit of work.	  Positive	Balin	1	-0.26829	0.061199
1927	"Indeed Bilbo was so pleased with their praise that he just chuckled inside and said nothing whatever about the ring; and when they asked him how he did it, he said: ""O, just crept along, you know-very carefully and quietly."	  Negative	Bilbo Baggins	-1	-0.29268	0.036809
1928	" Well, it is the first time that even a mouse has crept along carefully and quietly under my very nose and not been spotted,"" said Balin, ""and I take off my hood to you."	  Negative	Balin	-1	-0.34146	-0.011971
1929	 Which he did.	  Neutral	None	0	-0.39024	-0.060751
1930	"Balin at your service, said he."	  Neutral	Balin	0	-0.41463	-0.085141
1931	"Your servant, Mr. Baggins, said Bilbo."	  Neutral	Bilbo Baggins	0	-0.41463	-0.085141
1932	"Then they wanted to know all about his adventures after they had lost him, and he sat down and told them everything-except about the finding of the ring (""not just now"" he thought)."	  Neutral	None	0	-0.39024	-0.060751
1933	"They were particularly interested in the riddle-competition, and shuddered most appreciatively at his description of Gollum."	  Negative	Gollum	-1	-0.39024	-0.060751
1934	"And then I couldn't think of any other question with him sitting beside me, ended Bilbo; ""so I said 'what's in my pocket?"	  Negative	Bilbo Baggins	-1	-0.41463	-0.085141
1935	' And he couldn't guess in three goes.	  Neutral	None	0	-0.41463	-0.085141
1936	So I said: 'what about your promise?	  Neutral	None	0	-0.41463	-0.085141
1937	Show me the way out!	  Positive	None	1	-0.43902	-0.10953
1938	"' But he came at me to kill me, and I ran, and fell over, and he missed me in the dark."	  Very negative	None	-2	-0.46341	-0.13392
1939	"Then I followed him, because I heard him talking to himself."	  Neutral	None	0	-0.5122	-0.18271
1940	"He thought I really knew the way out, and so he was making for it."	  Negative	None	-1	-0.5122	-0.18271
1941	"And then he sat down in the entrance, and I could not get by."	  Neutral	None	0	-0.4878	-0.15831
1942	"So I jumped over him and escaped, and ran down to the gate."	  Negative	None	-1	-0.4878	-0.15831
1943	 What about guards?	  Neutral	None	0	-0.41463	-0.085141
1944	 they asked.	  Neutral	None	0	-0.41463	-0.085141
1945	Weren't there any?	  Neutral	None	0	-0.39024	-0.060751
1946	 O yes!	  Neutral	None	0	-0.36585	-0.036361
1947	lots of them; but I dodged 'em.	  Negative	None	-1	-0.41463	-0.085141
1948	"I got stuck in the door, which was only open a crack, and I lost lots of buttons,"" he said sadly looking at his torn clothes."	  Very negative	None	-2	-0.36585	-0.036361
1949	But I squeezed through all right-and here I am.	  Negative	None	-1	-0.34146	-0.011971
1950	" The dwarves looked at him with quite a new respect, when he talked about dodging guards, jumping over Gollum, and squeezing through, as if it was not very difficult or very alarming."	  Negative	Gollum	-1	-0.31707	0.012419
1951	What did I tell you?	  Neutral	None	0	-0.29268	0.036809
1952	 said Gandalf laughing.	  Neutral	Gandalf	0	-0.26829	0.061199
1953	Mr. Baggins has more about him than you guess.	  Neutral	None	0	-0.2439	0.085589
1954	" He gave Bilbo a queer look from under his bushy eyebrows, as he said this, and the hobbit wondered if he guessed at the part of his tale that he had left out."	  Negative	Bilbo Baggins	-1	-0.21951	0.10998
1955	"Then he had questions of his own to ask, for if Gandalf had explained it all by now to the dwarves, Bilbo had not heard it."	  Neutral	Bilbo Baggins	0	-0.21951	0.10998
1956	"He wanted to know how the wizard had turned up again, and where they had all got to now."	  Neutral	None	0	-0.2439	0.085589
1957	"The wizard, to tell the truth, never minded explaining his cleverness more than once, so now he had told Bilbo that both he and Elrond had been well aware of the presence of evil goblins in that part of the mountains."	  Negative	Elrond	-1	-0.2439	0.085589
1958	"But their main gate used to come out on a different pass, one more easy to travel by, so that they often caught people benighted near their gates."	  Negative	None	-1	-0.29268	0.036809
1959	"Evidently people had given up going that way, and the goblins must have opened their new entrance at the top of the pass the dwarves had taken, quite recently, because it had been found quite safe up to now."	  Negative	None	-1	-0.21951	0.10998
1960	"I must see if I can't find a more or less decent giant to block it up again, said Gandalf, ""or soon there will be no getting over the mountains at all."	  Negative	Gandalf	-1	-0.19512	0.13437
1961	 As soon as Gandalf had heard Bilbo's yell he realized what had happened.	  Neutral	Bilbo Baggins	0	-0.17073	0.15876
1962	"In the flash which killed the goblins that were grabbing him he had nipped inside the crack, just as it snapped to."	  Negative	None	-1	-0.17073	0.15876
1963	"He followed after the drivers and prisoners right to the edge of the great hall, and there he sat down and worked up the best magic he could in the shadows."	  Very positive	None	2	-0.14634	0.18315
1964	"A very ticklish business, it was, he said."	  Neutral	None	0	-0.12195	0.20754
1965	Touch and go!	  Neutral	None	0	-0.14634	0.18315
1966	" But, of course, Gandalf had made a special study of bewitchments with fire and lights (even the hobbit had never forgotten the magic fireworks at Old Took's midsummer-eve parties, as you remember)."	  Neutral	Bullroarer Took	0	-0.17073	0.15876
1967	"The rest we all know - except that Gandalf knew all about the back-door, as the goblins called the lower gate, where Bilbo lost his buttons."	  Negative	Bilbo Baggins	-1	-0.14634	0.18315
1968	As a matter of fact it was well known to anybody who was acquainted with this part of the mountains; but it took a wizard to keep his head in the tunnels and guide them in the right direction.	  Positive	None	1	-0.14634	0.18315
1969	"They made that gate ages ago, he said, ""partly for a way of escape, if they needed one; partly as a way out into the lands beyond, where they still come in the dark and do great damage."	  Neutral	None	0	-0.12195	0.20754
1970	They guard it always and no one has ever managed to block it up.	  Positive	None	1	-0.097561	0.23193
1971	"They will guard it doubly after this,"" he laughed."	  Positive	None	1	-0.097561	0.23193
1972	All the others laughed too.	  Positive	None	1	-0.12195	0.20754
1973	"After all they had lost a good deal, but they had killed the Great Goblin and a great many others besides, and they had all escaped, so they might be said to have had the best of it so far."	  Positive	The Great Goblin	1	-0.097561	0.23193
1974	But the wizard called them to their senses.	  Neutral	None	0	-0.097561	0.23193
1975	"We must be getting on at once, now we are a little rested, he said."	  Negative	None	-1	-0.097561	0.23193
1976	They will be out after us in hundreds when night comes on; and already shadows are lengthening.	  Negative	None	-1	-0.12195	0.20754
1977	They can smell our footsteps for hours and hours after we have passed.	  Neutral	None	0	-0.14634	0.18315
1978	We must be miles on before dusk.	  Negative	None	-1	-0.12195	0.20754
1979	"There will be a bit of moon, if it keeps fine, and that is lucky."	  Positive	None	1	-0.097561	0.23193
1980	"Not that they mind the moon much, but it will give us a little light to steer by."	  Positive	None	1	-0.12195	0.20754
1981	 O yes!	  Neutral	None	0	-0.12195	0.20754
1982	 he said in answer to more questions from the hobbit.	  Neutral	None	0	-0.17073	0.15876
1983	You lose track of time inside goblin-tunnels.	  Neutral	None	0	-0.14634	0.18315
1984	"Today's Thursday, and it was Monday night or Tuesday morning that we were captured."	  Positive	None	1	-0.19512	0.13437
1985	"We have gone miles and miles, and come right down through the heart of the mountains, and are now on the other side-quite a short cut."	  Negative	None	-1	-0.19512	0.13437
1986	"But we are not at the point to which our pass would have brought us; we are too far to the North, and have some awkward country ahead."	  Negative	None	-1	-0.21951	0.10998
1987	And we are still pretty high up.	  Positive	None	1	-0.21951	0.10998
1988	Let's get on!	  Negative	None	-1	-0.21951	0.10998
1989	" I am so dreadfully hungry,"" groaned Bilbo, who was suddenly aware that he had not had a meal since the night before the night before last."	  Negative	Bilbo Baggins	-1	-0.26829	0.061199
1990	Just think of that for a hobbit!	  Neutral	None	0	-0.2439	0.085589
1991	"His stomach felt all empty and loose and his legs all wobbly, now that the excitement was over."	  Negative	None	-1	-0.26829	0.061199
1992	"Can't help it, said Gandalf, ""unless you like to go back and ask the goblins nicely to let you have your pony back and your luggage."	  Negative	Gandalf	-1	-0.29268	0.036809
1993	 No thank you!	  Positive	None	1	-0.31707	0.012419
1994	 said Bilbo.	  Neutral	Bilbo Baggins	0	-0.34146	-0.011971
1995	"Very well then, we must just tighten our belts and trudge on - or we shall be made into supper, and that will be much worse than having none ourselves."	  Negative	None	-1	-0.34146	-0.011971
1996	" As they went on Bilbo looked from side to side for something to eat; but the blackberries were still only in flower, and of course there were no nuts, nor even hawthorn-berries."	  Negative	Bilbo Baggins	-1	-0.34146	-0.011971
1997	"He nibbled a bit of sorrel, and he drank from a small mountain-stream that crossed the path, and he ate three wild strawberries that he found on its bank, but it was not much good."	  Negative	None	-1	-0.31707	0.012419
1998	They still went on and on.	  Neutral	None	0	-0.29268	0.036809
1999	The rough path disappeared.	  Neutral	None	0	-0.26829	0.061199
2000	"The bushes, and the long grasses, between the boulders, the patches of rabbit-cropped turf, the thyme and the sage and the marjoram, and the yellow rockroses all vanished, and they found themselves at the top of a wide steep slope of fallen stones, the remains of a landslide."	  Very negative	None	-2	-0.29268	0.036809
2001	"When they began to go down this, rubbish and small pebbles rolled away from their feet; soon larger bits of split stone went clattering down and started other pieces below them slithering and rolling; then lumps of rocks were disturbed and bounded off, crashing down with a dust and a noise."	  Negative	None	-1	-0.34146	-0.011971
2002	"Before long the whole slope above them and below them seemed on the move, and they were sliding away, huddled all together, in a fearful confusion of slipping, rattling, cracking slabs and stones."	  Very negative	None	-2	-0.36585	-0.036361
2003	It was the trees at the bottom that saved them.	  Neutral	None	0	-0.36585	-0.036361
2004	They slid into the edge of a climbing wood of pines that here stood right up the mountain slope from the deeper darker forests of the valleys below.	  Neutral	None	0	-0.36585	-0.036361
2005	"Some caught hold of the trunks and swung themselves into lower branches, some (like the little hobbit) got behind a tree to shelter from the onslaught of the rocks."	  Neutral	None	0	-0.36585	-0.036361
2006	"Soon the danger was over, the slide had stopped, and the last faint crashes could be heard as the largest of the disturbed stones went bounding and spinning among the bracken and the pine-roots far below."	  Negative	None	-1	-0.34146	-0.011971
2007	Well!	  Neutral	None	0	-0.31707	0.012419
2008	"that has got us on a bit,"" said Gandalf; ""and even goblins tracking us will have a job to come down here quietly."	  Negative	Gandalf	-1	-0.39024	-0.060751
2009	" I daresay,"" grumbled Bombur; ""but they won't find it difficult to send stones bouncing down on our heads."	  Negative	Bombur	-1	-0.36585	-0.036361
2010	" The dwarves (and Bilbo) were feeling far from happy, and were rubbing their bruised and damaged legs and feet."	  Positive	Bilbo Baggins	1	-0.34146	-0.011971
2011	Nonsense!	  Neutral	None	0	-0.34146	-0.011971
2012	We are going to turn aside here out of the path of the slide.	  Neutral	None	0	-0.34146	-0.011971
2013	We must be quick!	  Neutral	None	0	-0.34146	-0.011971
2014	Look at the light!	  Neutral	None	0	-0.39024	-0.060751
2015	 The sun had long gone behind the mountains.	  Neutral	None	0	-0.39024	-0.060751
2016	"Already the shadows were deepening about them, though far away through the trees and over the black tops of those growing lower down they could still see the evening lights on the plains beyond."	  Negative	None	-1	-0.36585	-0.036361
2017	They limped along now as fast as they were able down the gentle slopes of a pine forest in a slanting path leading steadily southwards.	  Neutral	None	0	-0.34146	-0.011971
2018	At times they were pushing through a sea of bracken with tall fronds rising right above the hobbit's head; at times they were marching along quiet as quiet over a floor of pine-needles; and all the while the forest-gloom got heavier and the forest-silence deeper.	  Positive	None	1	-0.31707	0.012419
2019	There was no wind that evening to bring even a sea-sighing into the branches of the trees.	  Neutral	None	0	-0.31707	0.012419
2020	Must we go any further?	  Neutral	None	0	-0.34146	-0.011971
2021	" asked Bilbo, when it was so dark that he could only just see Thorin's beard wagging beside him, and so quiet that he could hear the dwarves' breathing like a loud noise."	  Negative	Bilbo Baggins	-1	-0.26829	0.061199
2022	"My toes are all bruised and bent, and my legs ache, and my stomach is wagging like an empty sack."	  Negative	None	-1	-0.26829	0.061199
2023	" A bit further,"" said Gandalf."	  Neutral	Gandalf	0	-0.2439	0.085589
2024	After what seemed ages further they came suddenly to an opening where no trees grew.	  Neutral	None	0	-0.2439	0.085589
2025	The moon was up and was shining into the clearing.	  Positive	None	1	-0.26829	0.061199
2026	"Somehow it struck all of them as not at all a nice place, although there was nothing wrong to see."	  Neutral	None	0	-0.29268	0.036809
2027	"All of a sudden they heard a howl away down hill, a long shuddering howl."	  Neutral	None	0	-0.26829	0.061199
2028	It was answered by another away to the right and a good deal nearer to them; then by another not far away to the left.	  Very negative	None	-2	-0.2439	0.085589
2029	"It was wolves howling at the moon, wolves gathering together!"	  Neutral	None	0	-0.21951	0.10998
2030	"There were no wolves living near Mr. Baggins' hole at home, but he knew that noise."	  Neutral	None	0	-0.19512	0.13437
2031	He had had it described to him often enough in tales.	  Neutral	None	0	-0.2439	0.085589
2032	"One of his elder cousins (on the Took side), who had been a great traveller, used to imitate it to frighten him."	  Negative	Bullroarer Took	-1	-0.2439	0.085589
2033	To hear it out in the forest under the moon was too much for Bilbo.	  Negative	Bilbo Baggins	-1	-0.21951	0.10998
2034	"Even magic rings are not much use against wolves - especially against the evil packs that lived under the shadow of the goblin-infested mountains, over the Edge of the Wild on the borders of the unknown."	  Negative	None	-1	-0.21951	0.10998
2035	"Wolves of that sort smell keener than goblins, and do not need to see you to catch you!"	  Neutral	None	0	-0.21951	0.10998
2036	"What shall we do, what shall we do!"	  Neutral	None	0	-0.21951	0.10998
2037	 he cried.	  Neutral	None	0	-0.19512	0.13437
2038	Escaping goblins to be caught by wolves!	  Neutral	None	0	-0.19512	0.13437
2039	" he said, and it became a proverb, though we now say 'out of the frying-pan into the fire' in the same sort of uncomfortable situations."	  Neutral	None	0	-0.19512	0.13437
2040	Up the trees quick!	  Negative	None	-1	-0.19512	0.13437
2041	" cried Gandalf; and they ran to the trees at the edge of the glade, hunting for those that had branches fairly low, or were slender enough to swarm up."	  Positive	Gandalf	1	-0.21951	0.10998
2042	"They found them as quick as ever they could, you can guess; and up they went as high as ever they could trust the branches."	  Negative	None	-1	-0.17073	0.15876
2043	"You would have laughed (from a safe distance), if you had seen the dwarves sitting up in the trees with their beards dangling down, like old gentlemen gone cracked and playing at being boys."	  Negative	None	-1	-0.14634	0.18315
2044	Fili and Kili were at the top of a tall larch like an enormous Christmas tree.	  Neutral	Fili	0	-0.17073	0.15876
2045	"Dori, Nori, On, Oin, and Gloin were more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a wheel."	  Negative	Gloin	-1	-0.19512	0.13437
2046	"Bifur, Bofur, Bombur, and Thorin were in another."	  Negative	Bombur	-1	-0.21951	0.10998
2047	Dwalin and Balin had swarmed up a tall slender fir with few branches and were trying to find a place to sit in the greenery of the topmost boughs.	  Neutral	Balin	0	-0.21951	0.10998
2048	"Gandalf, who was a good deal taller than the others, had found a tree into which they could not climb, a large pine standing at the very edge of the glade."	  Positive	Gandalf	1	-0.21951	0.10998
2049	"He was quite hidden in its boughs, but you could see his eyes gleaming in the moon as he peeped out."	  Neutral	None	0	-0.19512	0.13437
2050	And Bilbo?	  Neutral	Bilbo Baggins	0	-0.19512	0.13437
2051	"He could not get into any tree, and was scuttling about from trunk to trunk, like a rabbit that has lost its hole and has a dog after it."	  Negative	None	-1	-0.19512	0.13437
2052	You've left the burglar behind again} said Nori to Dori looking down.	  Neutral	Nori	0	-0.21951	0.10998
2053	"I can't be always carrying burglars on my back, said Dori, ""down tunnels and up trees!"	  Positive	Dori	1	-0.19512	0.13437
2054	What do you think I am?	  Neutral	None	0	-0.17073	0.15876
2055	A porter?	  Neutral	None	0	-0.17073	0.15876
2056	" He'll be eaten if we don't 'do something,"" said Thorin, for there were howls all around them now, getting nearer and nearer."	  Neutral	Thorin Oakenshield	0	-0.17073	0.15876
2057	Dori!	  Neutral	Dori	0	-0.17073	0.15876
2058	" he called, for Dori was lowest down in the easiest tree, be quick, and give Mr. Baggins a hand up!"	  Neutral	Dori	0	-0.17073	0.15876
2059	 Dori was really a decent fellow in spite of his grumbling.	  Positive	Dori	1	-0.19512	0.13437
2060	Poor Bilbo could not reach his hand even when he climbed down to the bottom branch and hung his arm down as far as ever he could.	  Neutral	Bilbo Baggins	0	-0.21951	0.10998
2061	So Dori actually climbed out of the tree and let Bilbo scramble up and stand on his back.	  Negative	Bilbo Baggins	-1	-0.19512	0.13437
2062	Just at that moment the wolves trotted howling into the clearing.	  Positive	None	1	-0.19512	0.13437
2063	All of a sudden there were hundreds of eyes looking at them.	  Neutral	None	0	-0.17073	0.15876
2064	Still Dori did not let Bilbo down.	  Negative	Bilbo Baggins	-1	-0.14634	0.18315
2065	"He waited till he had clambered off his shoulders into the branches, and then he jumped for the branches himself."	  Negative	None	-1	-0.14634	0.18315
2066	Only just in time!	  Neutral	None	0	-0.12195	0.20754
2067	"A wolf snapped- at his cloak as he swung up, and nearly got him."	  Neutral	None	0	-0.097561	0.23193
2068	"In a minute there was a whole pack of them yelping all round the tree and leaping up at the trunk, with eyes blazing and tongues hanging out."	  Neutral	None	0	-0.097561	0.23193
2069	But even the wild Wargs (for so the evil wolves over the Edge of the Wild were named) cannot climb trees.	  Negative	None	-1	-0.14634	0.18315
2070	For a time they were safe.	  Neutral	None	0	-0.14634	0.18315
2071	'Luckily it was warm and not windy.	  Neutral	None	0	-0.12195	0.20754
2072	"Trees are not very comfortable to sit in for long at any time; but in the cold and the wind, with wolves all round below waiting for you, they can be perfectly miserable places."	  Negative	None	-1	-0.097561	0.23193
2073	This glade in the ring of trees was evidently a meeting-place of the wolves.	  Neutral	None	0	-0.12195	0.20754
2074	More and more kept coming in.	  Neutral	None	0	-0.17073	0.15876
2075	"They left guards at the foot of the tree in which Dori and Bilbo were, and then went sniffling about till they had smelt out every tree that had anyone in it."	  Negative	Bilbo Baggins	-1	-0.19512	0.13437
2076	"These they guarded too, while all the rest (hundreds and hundreds it seemed) went and sat in a great circle in the glade; and in the middle of the circle was a great grey wolf."	  Neutral	None	0	-0.2439	0.085589
2077	He spoke to them in the dreadful language of the Wargs.	  Neutral	None	0	-0.2439	0.085589
2078	Gandalf understood it.	  Neutral	Gandalf	0	-0.26829	0.061199
2079	"Bilbo did not, but it sounded terrible to him, and as if all their talk was about cruel and wicked things, as it was."	  Negative	Bilbo Baggins	-1	-0.29268	0.036809
2080	"Every now and then all the Wargs in the circle would answer their grey chief all together, and their dreadful clamour almost made the hobbit fall out of his pine-tree."	  Negative	None	-1	-0.34146	-0.011971
2081	"I will tell you what Gandalf heard, though Bilbo did not understand it."	  Neutral	Bilbo Baggins	0	-0.34146	-0.011971
2082	The Wargs and the goblins often helped one another in wicked deeds.	  Positive	None	1	-0.31707	0.012419
2083	"Goblins do not usually venture very far from their mountains, unless they are driven out and are looking for new homes, or are marching to war (which I am glad to say has not happened for a long while)."	  Neutral	None	0	-0.36585	-0.036361
2084	"But in those days they sometimes used to go on raids, especially to get food or slaves to work for them."	  Neutral	None	0	-0.36585	-0.036361
2085	Then they often got the Wargs to help and shared the plunder with them.	  Neutral	None	0	-0.34146	-0.011971
2086	Sometimes they rode on wolves like men do on horses.	  Neutral	None	0	-0.34146	-0.011971
2087	Now it seemed that a great goblin-raid had been planned for that very night.	  Neutral	None	0	-0.31707	0.012419
2088	The Wargs had come to meet the goblins and the goblins were late.	  Neutral	None	0	-0.34146	-0.011971
2089	"The reason, no doubt, was the death of the Great Goblin, and all the excitement caused by the dwarves and Bilbo and the wizard, for whom they were probably still hunting."	  Negative	The Great Goblin	-1	-0.39024	-0.060751
2090	"In spite of the dangers of this far land bold men had of late been making their way back into it from the South, cutting down trees, and building themselves places to live in among the more pleasant woods in the valleys and along the river-shores."	  Neutral	None	0	-0.36585	-0.036361
2091	"There were many of them, and they were brave and well-armed, and even the Wargs dared not attack them if there were many together, or in the bright day."	  Positive	None	1	-0.39024	-0.060751
2092	But now they had planned with the goblins' help to come by night upon some of the villages nearest the mountains.	  Neutral	None	0	-0.39024	-0.060751
2093	"If their plan had been carried out, there would have been none left there next day; all would have been killed except the few the goblins kept from the wolves and carried back as prisoners to their caves."	  Negative	None	-1	-0.36585	-0.036361
2094	"This was dreadful talk to listen to, not only because of the brave woodmen and their wives and children, but also because of the danger which now threatened Gandalf and his friends."	  Negative	Gandalf	-1	-0.39024	-0.060751
2095	The Wargs were angry and puzzled at finding them here in their very meeting-place.	  Negative	None	-1	-0.36585	-0.036361
2096	"They thought they were friends of the woodmen, and were come to spy on them, and would take news of their plans down into the valleys, and then the goblins and the wolves would have to fight a terrible battle instead of capturing prisoners and devouring people waked suddenly from their sleep."	  Very negative	None	-2	-0.34146	-0.011971
2097	"So the Wargs had no intention of going away and letting the people up the trees escape, at any rate not until morning."	  Neutral	None	0	-0.39024	-0.060751
2098	"And long before that, they said, goblin soldiers would be coming down from the mountains; and goblins can climb trees, or cut them down."	  Negative	None	-1	-0.39024	-0.060751
2099	"Now you can understand why Gandalf, listening to their growling and yelping, began to be dreadfully afraid, wizard though he was, and to feel that they were in a very bad place, and had not yet escaped at all."	  Negative	Gandalf	-1	-0.41463	-0.085141
2100	"All the same he was not going to let them have it all their own way, though he could not do very much stuck up in a tall tree with wolves all round on the ground below."	  Negative	None	-1	-0.36585	-0.036361
2101	He gathered the huge pinecones from the branches of his tree.	  Neutral	None	0	-0.31707	0.012419
2102	"Then he set one alight with bright blue fire, and threw it whizzing down among the circle of the wolves."	  Neutral	None	0	-0.31707	0.012419
2103	"It struck one on the back, and immediately his shaggy coat caught fire, and he was leaping to and fro yelping horribly."	  Negative	None	-1	-0.34146	-0.011971
2104	"Then another came and another, one in blue flames, one in red, another in green."	  Neutral	None	0	-0.36585	-0.036361
2105	They burst on the ground in the middle of the circle and went off in coloured sparks and smoke.	  Neutral	None	0	-0.41463	-0.085141
2106	"A specially large one hit the chief wolf on the nose, and he leaped in the air ten feet, and then rushed round and round the circle biting and snapping even at the other wolves in his anger and fright."	  Negative	None	-1	-0.41463	-0.085141
2107	The dwarves and Bilbo shouted and cheered.	  Positive	Bilbo Baggins	1	-0.43902	-0.10953
2108	"The rage of the wolves was terrible to see, and the commotion they made filled all the forest."	  Negative	None	-1	-0.46341	-0.13392
2109	"Wolves are afraid of fire at all times, but this was a most horrible and uncanny fire."	  Very negative	None	-2	-0.4878	-0.15831
2110	"If a spark got in their coats it stuck and burned into them, and unless they rolled over quick they were soon all in flames."	  Neutral	None	0	-0.5122	-0.18271
2111	"Very soon all about the glade wolves were rolling over and over to put out the sparks on their backs, while those that were burning were running about howling and setting others alight, till their own friends chased them away and they fled off down the slopes crying and yammering and looking for water."	  Negative	None	-1	-0.5122	-0.18271
2112	What's all this uproar in the forest tonight?	  Neutral	None	0	-0.56098	-0.23149
2113	 said the Lord of the Eagles.	  Neutral	Eagles	0	-0.58537	-0.25588
2114	"He was sitting, black in the moonlight, on the top of a lonely pinnacle of rock at the eastern edge of the mountains."	  Negative	None	-1	-0.58537	-0.25588
2115	I hear wolves' voices!	  Positive	None	1	-0.56098	-0.23149
2116	Are the goblins at mischief in the woods?	  Neutral	None	0	-0.53659	-0.2071
2117	" He swept up into the air, and immediately two of his guards from the rocks at either hand leaped up to follow him."	  Very negative	None	-2	-0.5122	-0.18271
2118	"They circled up in the sky and looked down upon the ring of the Wargs, a tiny spot far far below."	  Neutral	None	0	-0.5122	-0.18271
2119	But eagles have keen eyes and can see small things at a great distance.	  Negative	None	-1	-0.5122	-0.18271
2120	"The lord of the eagles of the Misty Mountains had eyes that could look at the sun unblinking, and could see a rabbit moving on the ground a mile below even in the moonlight."	  Positive	None	1	-0.46341	-0.13392
2121	"So though he could not see the people in the trees, he could make out the commotion among the wolves and see the tiny flashes of fire, and hear the howling and yelping come up faint from far beneath him."	  Positive	None	1	-0.43902	-0.10953
2122	"Also he could see the glint of the moon on goblin spears and helmets, as long lines of the wicked folk crept down the hillsides from their gate and wound into the wood."	  Neutral	None	0	-0.46341	-0.13392
2123	Eagles are not kindly birds.	  Neutral	Eagles	0	-0.43902	-0.10953
2124	Some are cowardly and cruel.	  Negative	None	-1	-0.41463	-0.085141
2125	But the ancient race of the northern mountains were the greatest of all birds; they were proud and strong and noble-hearted.	  Very negative	None	-2	-0.43902	-0.10953
2126	"They did not love goblins, or fear them."	  Neutral	None	0	-0.46341	-0.13392
2127	"When they took any notice of them at all (which was seldom, for they did not eat such creatures ), they swooped on them and drove them shrieking back to their caves, and stopped whatever wickedness they were doing."	  Negative	None	-1	-0.46341	-0.13392
2128	"The goblins hated the eagles and feared them, but could not reach their lofty seats, or drive them from the mountains."	  Negative	None	-1	-0.5122	-0.18271
2129	"Tonight the Lord of the Eagles was filled with curiosity to know what was afoot; so he summoned many other eagles to him, and they flew away from the mountains, and slowly circling ever round and round they came down, down, down towards the ring of the wolves and the meeting-place of the goblins."	  Negative	Eagles	-1	-0.4878	-0.15831
2130	A very good thing too!	  Very negative	None	-2	-0.46341	-0.13392
2131	Dreadful things had been going on down there.	  Neutral	None	0	-0.46341	-0.13392
2132	The wolves that had caught fire and fled into the forest had set it alight in several places.	  Negative	None	-1	-0.43902	-0.10953
2133	"It was high summer, and on this eastern side of the mountains there had been little rain for some time."	  Negative	None	-1	-0.43902	-0.10953
2134	"Yellowing bracken, fallen branches, deep-piled pine-needles, and here and there dead trees, were soon in flames."	  Negative	None	-1	-0.46341	-0.13392
