index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
71	None	Distance might not solve anything.	  Negative	-1	-0.27273	-0.33333	-0.078307341
72	None	" The boy named Crow lets out a sigh, then rests a fingertip on each of his closed eyelids and speaks to me from the darkness within."	  Neutral	0	-0.27273	-0.33333	-0.078307341
73	None	How about we play our game?	  Neutral	0	-0.36364	-0.28571	-0.030687341
74	None	 he says.	  Neutral	0	-0.27273	-0.28571	-0.030687341
75	None	"All right, I say."	  Positive	1	-0.27273	-0.28571	-0.030687341
76	None	I close my eyes and quietly take a deep breath.	  Positive	1	-0.18182	-0.2381	0.016922659
77	None	"Okay, picture a terrible sandstorm, he says."	  Negative	-1	-0.090909	-0.19048	0.064542659
78	None	Get everything else out of your head.	  Negative	-1	-0.090909	-0.2381	0.016922659
79	None	" I do what he says, get everything else out of my head."	  Neutral	0	-0.090909	-0.19048	0.064542659
80	None	"I forget who I am, even."	  Negative	-1	-0.090909	-0.19048	0.064542659
81	None	I'm a total blank.	  Neutral	0	-0.090909	-0.14286	0.112162659
82	None	Then things start to surface.	  Neutral	0	-0.18182	-0.095238	0.159784659
83	None	Things that--as we sit here on the old leather sofa in my father's study--both of us can see.	  Neutral	0	-0.18182	-0.19048	0.064542659
84	None	"Sometimes fate is like a small sandstorm that keeps changing directions, Crow says."	  Neutral	0	-0.090909	-0.2381	0.016922659
85	None	Sometimes fate is like a small sandstorm that keeps changing directions.	  Neutral	0	-0.18182	-0.19048	0.064542659
86	None	You change direction but the sandstorm chases you.	  Positive	1	-0.090909	-0.2381	0.016922659
87	None	"You turn again, but the storm adjusts."	  Neutral	0	-0.090909	-0.28571	-0.030687341
88	None	"Over and over you play this out, like some ominous dance with death just before dawn."	  Negative	-1	-0.27273	-0.28571	-0.030687341
89	None	Why?	  Neutral	0	-0.36364	-0.28571	-0.030687341
90	None	"Because this storm isn't something that blew in from far away, something that has nothing to do with you."	  Negative	-1	-0.27273	-0.2381	0.016922659
91	None	This storm is you.	  Neutral	0	-0.27273	-0.19048	0.064542659
92	None	Something inside of you.	  Neutral	0	-0.36364	-0.19048	0.064542659
